date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:22:53	883/883	---M--	404	error ('Not%20Found')	text/html	etag:1755171322-ssl	https://kysfakeid123-cl10c2b23.netlify.app/robots.txt		(from )
23:22:53	212373/212373	---MCZ	200	added ('OK')	text/html	etag:%2233ab97fe1b2a047166daa7420f5d0169-ssl-df%22	https://kysfakeid123-cl10c2b23.netlify.app/	/Users/yesun/websites/kys-site/kysfakeid123-cl10c2b23.netlify.app/index.html	(from )
23:22:54	6689/6689	---MC-	200	added ('OK')	image/png	etag:%22e10791154b5894a22db443a56494483a%22	https://framerusercontent.com/images/2p1i9jxkZT1mV9tA0UGwosGNcw.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/2p1i9jxkZT1mV9tA0UGwosGNcw.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:54	7055/7055	---MC-	200	added ('OK')	image/png	etag:%22d985c5608aa272f56719c57652467c76%22	https://framerusercontent.com/images/5WMX7vWSyW2WMooR2VycdE7g3VY.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/5WMX7vWSyW2WMooR2VycdE7g3VY.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:55	6888/6888	---MC-	200	added ('OK')	image/png	etag:%2202deaf482691e3c03f688b55bff8d05d%22	https://framerusercontent.com/images/edCffmyX8v3KvzgS9Wg53vu46g.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/edCffmyX8v3KvzgS9Wg53vu46g.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:56	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2006%20Dec%202025%2014:22:56%20GMT	https://fonts.gstatic.com/	/Users/yesun/websites/kys-site/fonts.gstatic.com/index.html	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:56	883/883	---M--	200	added ('OK')	text/html	etag:%227d50fd5e62340c4a88c0e0cd728f479d-ssl%22	https://kysfakeid123-cl10c2b23.netlify.app/404.html	/Users/yesun/websites/kys-site/kysfakeid123-cl10c2b23.netlify.app/404.html	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:58	153/153	---MC-	200	added ('OK')	image/png	etag:%225a8faebbb89943c5ad0cc1bef0288df8%22	https://framerusercontent.com/images/SSVIOHxIU3czArajdwvayehgB94.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/SSVIOHxIU3czArajdwvayehgB94.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:22:59	1654/1654	---MC-	200	added ('OK')	image/png	etag:%2281afa398356f18b6461d1aff4d694647%22	https://framerusercontent.com/images/ee0dpi8fuAAN6XelirMYhRZTh8.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/ee0dpi8fuAAN6XelirMYhRZTh8.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:00	1041/1041	---MC-	200	added ('OK')	image/png	etag:%22444087fbf168ec3703c21df570b808aa%22	https://framerusercontent.com/images/T1mrKeNDf60lknB0dh2GZu6prY.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/T1mrKeNDf60lknB0dh2GZu6prY.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:01	396/396	---MC-	200	added ('OK')	image/png	etag:%228f81149ced5d8a3447cf7703a7dfb59c%22	https://framerusercontent.com/images/WywUGTeYP9uOvMTTXZ98wdYTU.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/WywUGTeYP9uOvMTTXZ98wdYTU.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:02	209/209	---MC-	200	added ('OK')	image/png	etag:%22a8c3248188fe5f487b2661497243a0fc%22	https://framerusercontent.com/images/6pyLViYfy8KW4P0igQYHeIOd24.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/6pyLViYfy8KW4P0igQYHeIOd24.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:03	4792/4792	---MC-	200	added ('OK')	image/jpeg	etag:%22cb895e7ec9619bc50159276b0619f47b%22	https://framerusercontent.com/images/T1jVNCDTbS3vpQBxKJCDO03bA.jpg	/Users/yesun/websites/kys-site/framerusercontent.com/images/T1jVNCDTbS3vpQBxKJCDO03bA.jpg	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:04	1706/1706	---MC-	200	added ('OK')	image/png	etag:%22aa32ceef93dc462e694d2f83462519de%22	https://framerusercontent.com/images/Sr8dhz4TZEaDhIYkbE21ud49oc.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/Sr8dhz4TZEaDhIYkbE21ud49oc.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:05	1870/1870	---MC-	200	added ('OK')	image/png	etag:%225d55a4d93d41ba45b21350176070fa44%22	https://framerusercontent.com/images/54QS9t3M4HtXiULjK46uJcKoek.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/54QS9t3M4HtXiULjK46uJcKoek.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:06	132005/132005	---MC-	200	added ('OK')	image/jpeg	etag:%228329277fbda73c3f513b2d9e3f038d2e%22	https://framerusercontent.com/images/CcFajfJrlf5RHlzdbTem3a4Gex8.jpg	/Users/yesun/websites/kys-site/framerusercontent.com/images/CcFajfJrlf5RHlzdbTem3a4Gex8.jpg	(from https://kysfakeid123-cl10c2b23.netlify.app/)
23:23:07	104/104	---MC-	200	added ('OK')	image/png	etag:%22bae07db6e3bf4a7fb974ef345f42f3a5%22	https://framerusercontent.com/images/xPAtWhHxkjpBdL8H0UU90Jof5A.png	/Users/yesun/websites/kys-site/framerusercontent.com/images/xPAtWhHxkjpBdL8H0UU90Jof5A.png	(from https://kysfakeid123-cl10c2b23.netlify.app/)
